{'title': '恒瑞医药注射用卡瑞利珠单抗主要研究终点结果达到方案预设优效标准', 'label': '1'}
{'title': '鞍钢股份实施首次回购耗资万元', 'label': '1'}
{'title': '大北农月销售生猪收入亿元同比增长', 'label': '1'}
{'title': '北方稀土子公司收到法院判决款项返还万元', 'label': '1'}
{'title': '信维通信公司拟以现金形式收购全部或部分苏州聚永昶电子科技有限公司的股权', 'label': '1'}
{'title': '国城矿业拟亿元收购国城实业股权', 'label': '1'}
{'title': '寒武纪公司拟中标南京智能计算中心项目一期智能计算设备采购项目价格为亿元', 'label': '1'}
{'title': '福能东方子公司与宁德时代签署亿元合同', 'label': '1'}
{'title': '妙可蓝多内蒙蒙牛拟取得公司控制权股票停牌', 'label': '1'}
{'title': '海尔智家海尔电器股东大会批准公司私有化海尔电器事宜', 'label': '1'}
{'title': '海航科技拟出售英迈国际股权缓解债务压力', 'label': '1'}
{'title': '亿纬锂能拟通过债转股的方式引入作为战略投资者', 'label': '1'}
{'title': '中来股份子公司型单晶电池量产效率取得重大进展', 'label': '1'}
{'title': '西山煤电拟逾亿元收购控股股东旗下煤炭资产', 'label': '1'}
{'title': '华大基因子公司新冠病毒抗原检测试剂获医疗器械注册证', 'label': '1'}
{'title': '万丰奥威子公司获得恒大新能源汽车镁合金部件项目订单金额约万元', 'label': '1'}
{'title': '中国电建子公司签署亿元重大合同', 'label': '1'}
{'title': '环旭电子月合并营收亿元同比增长', 'label': '1'}
{'title': '招商蛇口前月累计实现签约销售金额亿元同比增加', 'label': '1'}
{'title': '隧道股份子公司联合中标亿元工程项目', 'label': '1'}
{'title': '亚光科技与特殊机构客户签万元订购合同', 'label': '1'}
{'title': '天宜上佳商用车盘式制动器衬片产品通过产品认证', 'label': '1'}
{'title': '邮储银行控股股东累计增持亿元完成增持计划', 'label': '1'}
{'title': '七匹狼实控人大宗交易增持股份拟继续增持', 'label': '1'}
{'title': '创业环保宁波热电旗下子公司举牌公司股', 'label': '1'}
{'title': '延长化建重大资产重组事项获证监会核准批复', 'label': '1'}
{'title': '国联证券公开发行公司债获证监会注册批复', 'label': '1'}
{'title': '川恒股份拟发行可转债募资不超亿元', 'label': '1'}
{'title': '星光农机拟定增募资不超过亿元', 'label': '1'}
{'title': '文投控股全资子公司拟出资万元参与魔游天下的增资扩股', 'label': '1'}
{'title': '特一药业头孢拉定胶囊药品通过一致性评价', 'label': '1'}
{'title': '天齐锂业全资子公司拟增资扩股引入战投获增资亿美元', 'label': '1'}
{'title': '上港集团拟出资亿元参与发起设立国企混改基金公司', 'label': '1'}
{'title': '亚钾国际拟收购农钾资源股权股票复牌', 'label': '1'}
{'title': '永福股份宁德时代协议受让公司股份转让价格为元股', 'label': '1'}
{'title': '柳工间接控股股东柳工集团混改成功签约引入国家制造业转型升级基金中信证券等家战略投资者', 'label': '1'}
{'title': '南京化纤拟亿元收购上海越科股权', 'label': '1'}
{'title': '华电重工签订亿元重大合同', 'label': '1'}
{'title': '海航控股拟亿元收购长安航旅股权', 'label': '1'}
{'title': '横店影视亿元收购影视制作及横店影业全部股权', 'label': '1'}
{'title': '正平股份子公司中标亿元工程项目', 'label': '1'}
{'title': '张家港行申请发行不超亿元无固定期限资本债券获批', 'label': '1'}
{'title': '中国中铁近期中标亿元重大工程项目', 'label': '1'}
{'title': '中国铁建近期中标亿元重大项目', 'label': '1'}
{'title': '露笑科技全资子公司与公司合资子公司合肥露笑签订英寸碳化硅长晶成套设备定制合同合同金额为亿元', 'label': '1'}
{'title': '恒生电子拟亿至亿元回购股份用于员工持股计划', 'label': '1'}
{'title': '江淮汽车月汽车销量为辆同比增长', 'label': '1'}
{'title': '益生股份月鸡苗销售收入亿元环比增长', 'label': '1'}
{'title': '民和股份月商品代鸡苗销售收入万元环比增长', 'label': '1'}
{'title': '正虹科技月生猪销售收入万元环比增长', 'label': '1'}
{'title': '天邦股份月商品猪销售收入亿元环比增长', 'label': '1'}
{'title': '天康生物月生猪销售收入亿元环比增长同比增长', 'label': '1'}
{'title': '秦安股份股份回购比例达', 'label': '1'}
{'title': '百傲化学股份回购比例达', 'label': '1'}
{'title': '上海九百控股股东累计增持公司股份', 'label': '1'}
{'title': '博雅生物人凝血酶原复合物获药品注册证书', 'label': '1'}
{'title': '天齐锂业正筹划全资子公司以增资扩股方式进行股权融资的重大事项', 'label': '1'}
{'title': '大连港换股吸收合并营口港事项获证监会审核通过股票复牌', 'label': '1'}
{'title': '纳思达子公司艾派克微电子拟引战投大基金二期斥资亿元参与增资', 'label': '1'}
{'title': '大豪科技拟收购红星股份股份股票复牌', 'label': '1'}
{'title': '皇台月日起恢复上市将申请撤销退市风险警示', 'label': '1'}
{'title': '长城汽车月汽车销售万台同环比分别增长', 'label': '1'}
{'title': '曙光股份月整车销量辆同比增长', 'label': '1'}
{'title': '保利地产月实现签约金额亿元同比增加', 'label': '1'}
{'title': '圣农发展月实现销售收入亿元环比增长', 'label': '1'}
{'title': '新希望月生猪销售收入亿元环比增长同比增长', 'label': '1'}
{'title': '迪马股份拟分拆控股子公司东原澄方到香港联交所上市', 'label': '1'}
{'title': '启迪环境拟向间接控股股东启迪控股定增募资不超过亿元', 'label': '1'}
{'title': '宋都股份回购股份方案已实施完毕累计回购公司股份', 'label': '1'}
{'title': '金卡智能拟回购股份不低于万元且不超过亿元', 'label': '1'}
{'title': '铜峰电子控股股东增持公司股份', 'label': '1'}
{'title': '商城王强及其一致行动人累计增持公司股份', 'label': '1'}
{'title': '复星医药阿达木单抗注射液上市注册申请获批', 'label': '1'}
{'title': '时代出版拟向控股股东购买家公司股权增强印刷业务板块实力', 'label': '1'}
{'title': '嘉化能源拟亿元参设产业基金切入半导体产业', 'label': '1'}
{'title': '来伊份与中通快递中通云仓签署战略合作框架协议', 'label': '1'}
{'title': '圣湘生物三个针对新冠肺炎相关检测产品获得欧盟认证', 'label': '1'}
{'title': '双良节能与贵州茅台签订亿元项目合同', 'label': '1'}
{'title': '青海春天拟亿元收购关联方资产将增条药品产线条保健食品产线等', 'label': '1'}
{'title': '三七互娱拟亿元间接收购广州三七网络股权', 'label': '1'}
{'title': '陕西黑猫子公司规划建设年销售收入亿元项目', 'label': '1'}
{'title': '元隆雅图亿元收购花果传媒股权', 'label': '1'}
{'title': '恒瑞医药滴眼液等获批临床试验', 'label': '1'}
{'title': '密尔克卫非公开发行股票申请获证监会通过', 'label': '1'}
{'title': '龙蟒佰利非公开发行股票申请获证监会通过', 'label': '1'}
{'title': '中国重汽非公开发行股票申请获证监会通过', 'label': '1'}
{'title': '英搏尔拟引入战投格力金投及卓越智途', 'label': '1'}
{'title': '绿地控股绿地金融牵头的财团获得新加坡数字批发银行牌照', 'label': '1'}
{'title': '甘李药业门冬胰岛素注射液药品注册处于审批完毕待制证阶段', 'label': '1'}
{'title': '均瑶健康拟设立天然矿泉水公司寻求新业务增长点', 'label': '1'}
{'title': '龙大肉食与中牧股份签战略合作框架协议', 'label': '1'}
{'title': '迪瑞医疗全自动模块式血液体液分析系统获得医疗器械注册证', 'label': '1'}
{'title': '利安隆筹划收购康泰股份不低于股权股票停牌', 'label': '1'}
{'title': '亚光科技子公司中标万元赛事指挥无线专网项目', 'label': '1'}
{'title': '联创股份子公司不超亿元投建万吨年聚醚多元醇扩建等项目', 'label': '1'}
{'title': '光启技术子公司与某客户签订万元合同', 'label': '1'}
{'title': '牧原股份月份生猪销售收入亿元同比增长', 'label': '1'}
{'title': '立霸股份控股股东拟协议转让公司股份给盐城东方', 'label': '1'}
{'title': '顺发恒业累计耗资亿元回购公司股份', 'label': '1'}
{'title': '芒果超媒阿里创投拟亿元受让公司股份受让价元股', 'label': '1'}
{'title': '万科前月累计合同销售金额亿元同比增长', 'label': '1'}
{'title': '比亚迪月新能源汽车销量辆同比增', 'label': '1'}
{'title': '中牧股份拟分拆所属子公司乾元浩生物股份有限公司至科创板上市', 'label': '1'}
{'title': '桐昆股份拟亿元在江苏省沭阳县投建项目', 'label': '1'}
{'title': '圣农发展披露前三季度利润分配预案拟向全体股东每股派发现金红利元含税合计派现亿元', 'label': '1'}
{'title': '隆平高科水稻玉米及棉花等个新品种通过国家审定', 'label': '1'}
{'title': '海目星与宁德时代子公司签订亿元销售订单', 'label': '1'}
{'title': '江铃汽车月份汽车销量辆同比增长', 'label': '1'}
{'title': '创源文化公司股票简称将于月日变更为创源股份拟万万元回购股份', 'label': '1'}
{'title': '大连圣亚股东磐京基金拟不低于万元增持公司股份', 'label': '1'}
{'title': '寿仙谷累计回购万股支付的总金额为亿元', 'label': '1'}
{'title': '天成自控收到上汽大众合作意向书', 'label': '1'}
{'title': '东方生物新冠病毒抗体检测试剂盒取得医疗器械注册证', 'label': '1'}
{'title': '东安动力公司月份发动机销量同比增长', 'label': '1'}
{'title': '广州港月预计完成货物吞吐量亿吨同比增长', 'label': '1'}
{'title': '以岭药业连花清瘟胶囊获得乌克兰膳食补充剂注册批文', 'label': '1'}
{'title': '惠云钛业上调公司钛白粉销售价格', 'label': '1'}
{'title': '中核钛白全面上调公司各型号钛白粉销售价格', 'label': '1'}
{'title': '上机数控子公司签订亿元单晶方锭销售合同', 'label': '1'}
{'title': '风华高科拟投资亿元用于片式电阻器技改扩产项目', 'label': '1'}
{'title': '建设银行向全资子公司建信投资增资不超过亿元', 'label': '1'}
{'title': '江淮汽车大众中国投资对江汽控股的增资事项已完成工商登记变更', 'label': '1'}
{'title': '宝德股份拟以现金亿元收购名品世家股份实控人拟变更为解直锟', 'label': '1'}
{'title': '伊戈尔拟购买云变电气的股份或构成重大资产重组', 'label': '1'}
{'title': '亚钾国际拟购买农钾资源的股权股票停牌', 'label': '1'}
{'title': '华夏幸福拟向中融信托进行永续债融资金额不超亿元', 'label': '1'}
{'title': '申通快递发行不超过亿元中期票据的注册申请已获交易商协会接受', 'label': '1'}
{'title': '天华超净拟定增募资不超过亿元用于电池级氢氧化锂二期建设项目', 'label': '1'}
{'title': '联创股份将与中山大学合作开发二氧化碳系列可降解共聚物合成技术', 'label': '1'}
{'title': '奥福环保拟投资万元建设蜂窝陶瓷载体生产线', 'label': '1'}
{'title': '中国天楹中标锡林浩特市生活垃圾焚烧发电项目', 'label': '1'}
{'title': '荣盛发展月公司实现签约金额亿元同比增长', 'label': '1'}
{'title': '中南建设月份合同销售金额亿元同比增长', 'label': '1'}
{'title': '福田汽车月销量合计万辆同比增长', 'label': '1'}
{'title': '三特索道与同程艺龙签订战略合作协议', 'label': '1'}
{'title': '洲明科技与京东方签署战略合作协议', 'label': '1'}
{'title': '宝钢包装发行股份购买资产事项获有条件通过股票复牌', 'label': '1'}
{'title': '厦门国贸重组事项获无条件通过股票复牌', 'label': '1'}
{'title': '中国建筑已耗资亿元回购公司股份', 'label': '1'}
{'title': '苏泊尔公司已回购万股支付总金额为亿元', 'label': '1'}
{'title': '绿盟科技耗资万元回购万股股份', 'label': '1'}
{'title': '保力新实控人拟不超过亿元增持股份', 'label': '1'}
{'title': '新经典拟亿元至亿元回购股份', 'label': '1'}
{'title': '复星医药控股股东拟增持不超股份已增持股万股', 'label': '1'}
{'title': '利尔化学预计年净利润为亿亿元同比增长', 'label': '1'}
{'title': '傲农生物月生猪销售量环比增长同比增长', 'label': '1'}
{'title': '中国巨石筹划重大资产重组事宜股票停牌', 'label': '1'}
{'title': '中材科技正筹划重大资产重组股票停牌', 'label': '1'}
{'title': '力帆法院裁定批准公司控股股东公司子公司及参股公司的重整计划', 'label': '1'}
{'title': '华力创通拟定增募资不超过亿元', 'label': '1'}
{'title': '浙商证券非公开发行不超亿股申请获证监会核准', 'label': '1'}
{'title': '英科医疗拟投资多项高端医用防护手套建设项目', 'label': '1'}
{'title': '大地熊对子公司增资投建高端制造高性能稀土永磁材料及器件项目', 'label': '1'}
{'title': '金达威拟亿元购买诚信药业股权', 'label': '1'}
{'title': '传化智联控股子公司拟亿元转让所持潍坊公路港股权', 'label': '1'}
{'title': '南京高科参股公司艾力斯将在科创板上市', 'label': '1'}
{'title': '大东方与全资子公司共同增资其下属企业建设奔驰乘用车店', 'label': '1'}
{'title': '海思科创新药片获得临床试验批准通知书', 'label': '1'}
{'title': '四维图新收到月软件产品增值税退税和政府补助共计万元', 'label': '1'}
{'title': '凯普生物拟以万元亿元回购公司股份', 'label': '1'}
{'title': '盐津铺子拟以亿亿元回购股份回购价格不超过元股', 'label': '1'}
{'title': '商城因认为公司目前股价偏低王强及一致行动人增持股权', 'label': '1'}
{'title': '上汽集团已耗资亿元回购公司股权', 'label': '1'}
{'title': '邮储银行拟向控股股东定增募资不超亿元补充核心一级资本', 'label': '1'}
{'title': '苏宁易购控股子公司云网万店引入战略投资者投前估值亿元', 'label': '1'}
{'title': '京东方改为以增资亿元方式实际控制成都显示', 'label': '1'}
{'title': '特锐德启动分拆子公司特来电境内上市前期筹备工作', 'label': '1'}
{'title': '永悦科技超六成溢价受让公司股权江苏华英将成为公司控股股东实控人', 'label': '1'}
{'title': '天齐锂业与银团已签署展期函银团同意将亿美元贷款自到期日起展期', 'label': '1'}
{'title': '居然之家阿里软件与小米科技拟分别以亿元亿元认购定增股份', 'label': '1'}
{'title': '上海银行证监会核准公司向社会公开发行面值总额亿元可转换公司债券', 'label': '1'}
{'title': '华伍股份拟定增募资不超亿元', 'label': '1'}
{'title': '中金公司上交所对公司非公开发行公司债券挂牌转让无异议', 'label': '1'}
{'title': '四维图新非公开发行股股票申请获得证监会审核通过', 'label': '1'}
{'title': '路畅科技上修业绩预告预计全年盈利亿元至亿元公司此前预计年度亏损万元至万元', 'label': '1'}
{'title': '中国中车月期间签订总额亿元若干项合同', 'label': '1'}
{'title': '智慧能源月份子公司签约千万元以上合同金额合计亿元', 'label': '1'}
{'title': '国祯环保中标亿元污水处理设施建设及运行项目', 'label': '1'}
{'title': '裕同科技预计年净利亿至亿元同比增至', 'label': '1'}
{'title': '华创阳安拟亿元至亿元回购股份', 'label': '1'}
{'title': '上海医药重组抗人源化单克隆抗体皮下注射液临床试验申请获受理', 'label': '1'}
{'title': '中绒上海景贤投资万元拍得万股公司股份', 'label': '1'}
{'title': '瀚叶中泰证券上海资管竞得公司股权', 'label': '1'}
{'title': '上汽集团拟出资近亿元参与设立基金该基金计划与阿里巴巴专项投资于智己汽车', 'label': '1'}
{'title': '张江高科拟出资亿元参与设立基金该基金计划与阿里巴巴专项投资于智己汽车', 'label': '1'}
{'title': '交通银行拟发行总额不超亿元减记型二级资本债券', 'label': '1'}
{'title': '浙商银行拟出资亿元设立理财子公司发行不超亿元减记型无固定期限资本债券', 'label': '1'}
{'title': '万丰奥威与一汽东风汽车长安汽车签署镁合金材料合作协议', 'label': '1'}
{'title': '山东路桥签署亿项目合同', 'label': '1'}
{'title': '中核科技近期拟签订九份合同总金额亿元', 'label': '1'}
{'title': '高新发展联合预中标项目投标报价亿元', 'label': '1'}
{'title': '中广核技拟投资亿元建设医用同位素生产基地项目', 'label': '1'}
{'title': '东华软件与腾讯云计算联合中标亿元亿元智慧湿地建设项目', 'label': '1'}
{'title': '露天煤业拟亿元投建万千瓦光伏发电示范项目', 'label': '1'}
{'title': '东风集团股份与国家电网签订深化战略合作协议', 'label': '1'}
{'title': '新金路岷江电化全面恢复生产', 'label': '1'}
{'title': '人福医药盐酸胍法辛缓释片获得美国批准文号', 'label': '1'}
{'title': '君实生物注射液的临床试验申请获得受理', 'label': '1'}
{'title': '华东医药注射用醋酸卡泊芬净获批上市', 'label': '1'}
{'title': '安靠智电预中标亿元项目', 'label': '1'}
{'title': '西藏天路拟公开发行不超亿元公司债券', 'label': '1'}
{'title': '中国长城非公开发行股股票获得中国电子信息产业集团有限公司批复', 'label': '1'}
{'title': '中国恒大耗资亿港元回购万股股份', 'label': '1'}
{'title': '鞍钢股份拟亿元至亿元回购股份', 'label': '1'}
{'title': '云内动力拟万元至亿元回购股份', 'label': '1'}
{'title': '再升科技首次回购万元股份', 'label': '1'}
{'title': '复星医药拟定增募资不超亿元', 'label': '1'}
{'title': '招商证券获批发行总额不超亿元次级公司债券', 'label': '1'}
{'title': '天汽模实控人拟变更为驻马店市人民政府', 'label': '1'}
{'title': '茂硕电源济南市国资委将成为公司最终实控人', 'label': '1'}
{'title': '爱施德拟将共青城酷桂在星盟信息的出资占比提升至参与对荣耀收购', 'label': '1'}
{'title': '天音控股拟对星盟信息增加投资金额至亿元参与对荣耀的联合收购', 'label': '1'}
{'title': '粤高速近亿元收购广惠高速的股权实现控股', 'label': '1'}
{'title': '罗普罗普斯金控股出让公司股份宫长义将成为公司实控人', 'label': '1'}
{'title': '力帆第二次债权人会议表决通过了公司重整计划今日复牌', 'label': '1'}
{'title': '云海金属参与设立合资公司并投资建设总额亿元项目', 'label': '1'}
{'title': '旗滨集团子公司拟亿元设立绍兴光伏加快完善光伏玻璃材料板块业务整体规划', 'label': '1'}
{'title': '今飞凯达亿元投建汽车轮毂产线', 'label': '1'}
{'title': '闰土股份拟万元参设半导体创投基金', 'label': '1'}
{'title': '宏大爆破拟以亿元收购日盛民爆股权', 'label': '1'}
{'title': '司太立拟出资亿元设立产业基金', 'label': '1'}
{'title': '有方科技预中标万元采购项目', 'label': '1'}
{'title': '科陆预中标万元项目', 'label': '1'}
{'title': '华联股份亿元出让华联保理股权聚焦主业', 'label': '1'}
{'title': '锦泓集团拟以万元至万元回购股份', 'label': '1'}
{'title': '鹭燕医药便携式心电记录仪于近日取得医疗器械注册证', 'label': '1'}
{'title': '山河药辅公司产品蔗糖丸芯低取代羟丙纤维素获得美国的归档号', 'label': '1'}
{'title': '江淮汽车大众中国投资已在相关国家就江淮大众合资项目取得了反垄断审查部门的批准', 'label': '1'}
{'title': '大豪科技筹划重大资产重组拟收购白酒企业红星股份', 'label': '1'}
{'title': '泛海控股拟亿元收购武汉中央商务区剩余全部股权', 'label': '1'}
{'title': '德力股份拟定增募资不超过亿元', 'label': '1'}
{'title': '融捷拟向实际控制人之一吕向阳定增募资不超亿元', 'label': '1'}
{'title': '金奥博拟定增募资不超过亿元实控人参与认购', 'label': '1'}
{'title': '大秦铁路控股股东拟不超亿元增持公司股份', 'label': '1'}
{'title': '家家悦拟以亿元受让内蒙古维乐惠超市股权', 'label': '1'}
{'title': '顾家家居拟逾亿元投建越南基地年产万标准套家具产品项目', 'label': '1'}
{'title': '金洲管道拟亿元投建管道产品项目', 'label': '1'}
{'title': '白云山亿元增资孙公司', 'label': '1'}
{'title': '一心堂收购家门店资产加强巩固川渝市场', 'label': '1'}
{'title': '恒瑞医药苹果酸法米替尼胶囊注射用卡瑞利珠单抗近日被药审中心纳入拟突破性治疗品种公示名单', 'label': '1'}
{'title': '中国人寿拟出资亿元参与成立合伙企业', 'label': '1'}
{'title': '京东方已获得南京平板显示最终受让资格', 'label': '1'}
{'title': '复星医药出资万美元认购私募基金份额', 'label': '1'}
{'title': '浔兴股份浔兴集团累计增持公司股份且有意继续增持', 'label': '1'}
{'title': '家家悦拟回购万股至万股股份回购额不高于亿元', 'label': '1'}
{'title': '上海家化控股股东受让平安人寿所持公司股份', 'label': '1'}
{'title': '古井贡酒非公开发行股股票事项获国家出资企业批复', 'label': '1'}
{'title': '焦作万方非公开发行股票申请获证监会核准批复', 'label': '1'}
{'title': '用友网络拟分拆所属子公司用友汽车至科创板上市', 'label': '1'}
{'title': '中信建投北京国管中心对股权锁定做出进一步承诺', 'label': '1'}
{'title': '苏宁易购拟继续使用自有资金亿元购回公司债券', 'label': '1'}
{'title': '天汽模控股股东拟转让公司股份股票及可转债明起停牌', 'label': '1'}
{'title': '中公教育拟定增募资不超亿元', 'label': '1'}
{'title': '东方时尚拟定增募资不超过亿元', 'label': '1'}
{'title': '江山欧派拟公开发行不超过亿元可转债', 'label': '1'}
{'title': '豪美新材拟发行可转债募资不超过亿', 'label': '1'}
{'title': '博云新材拟定增募资不超亿元', 'label': '1'}
{'title': '铁流股份拟定增募资不超亿元', 'label': '1'}
{'title': '中国神华耗资万港元回购股股票', 'label': '1'}
{'title': '中国恒大耗资万港元回购万股股份', 'label': '1'}
{'title': '晶澳科技出让三个电站项目预计增加净利润亿元', 'label': '1'}
{'title': '苏大维格控股子公司获得康佳集团供应商资格', 'label': '1'}
{'title': '中国建筑近期获得合计亿元重大项目', 'label': '1'}
{'title': '海格通信与中国交通通信信息中心签署战略合作协议', 'label': '1'}
{'title': '辉煌科技中标亿元郑州轨道交通项目', 'label': '1'}
{'title': '华峰测控万元参与通富微电定增项目', 'label': '1'}
{'title': '中牧股份子公司通过兽药验收并取得证书', 'label': '1'}
{'title': '中国恒大恒大地产亿元战略投资者已签订补充协议转为普通股其中两国资接盘亿元', 'label': '1'}
{'title': '普门科技拟投资亿元建设华东总部及研发制造中心项目', 'label': '1'}
{'title': '大禹节水联合中标约亿元节水项目', 'label': '1'}
{'title': '多喜爱子公司中标亿元阿里巴巴达摩院南湖园区项目', 'label': '1'}
{'title': '芯海科技参与认购通富微电非公开发行的万股', 'label': '1'}
{'title': '通化东宝超速效赖脯胰岛素注射液申报临床获得批准通知', 'label': '1'}
{'title': '艾迪药业与韩国签署合作备忘录', 'label': '1'}
{'title': '奥园美谷执行总裁增持万股不排除未来继续增持', 'label': '1'}
{'title': '宁水集团拟万元至万元回购股份', 'label': '1'}
{'title': '广汽集团力争到十四五期末挑战实现产销量达万辆新能源汽车产品占整车产销规模超', 'label': '1'}
{'title': '南方航空拟公开发行规模不超过亿元债券', 'label': '1'}
{'title': '中环股份天合光能拟向公司子公司采购不少于亿片硅片合同总金额约亿元', 'label': '1'}
{'title': '金博股份拟发行可转债募资不超过亿元', 'label': '1'}
{'title': '深高速拟发行亿亿元永续债融资', 'label': '1'}
